run_id,process_count,rank,local_index,task_id,mapping_rule
mpi-final_macbook_air_2d-N412-P4,4,3,7,31,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,8,32,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,8,33,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,8,34,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,8,35,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,9,36,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,9,37,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,9,38,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,9,39,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,10,40,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,10,41,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,10,42,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,10,43,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,11,44,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,11,45,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,11,46,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,11,47,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,12,48,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,12,49,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,12,50,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,12,51,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,13,52,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,13,53,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,13,54,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,13,55,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,14,56,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,14,57,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,14,58,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,14,59,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,15,60,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,15,61,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,15,62,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,15,63,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,16,64,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,16,65,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,16,66,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,16,67,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,17,68,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,17,69,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,17,70,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,17,71,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,18,72,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,18,73,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,18,74,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,18,75,task_id mod process_count
